City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
326,Khandbari,NP,clear sky,27.37,87.2,63.52,नेवारी फाष्टफुड एण्ड लज
327,Rushden,GB,clear sky,52.29,-0.6,46.4,The Stanwick Hotel
328,Kemi,FI,overcast clouds,65.86,24.82,32.0,
329,Puerto Del Rosario,ES,clear sky,28.5,-13.86,68.0,Hotel JM Puerto del Rosario
330,Ilam,NP,clear sky,26.92,87.92,57.74,Chiyabari Cottage
331,Stratford,US,clear sky,41.18,-73.13,59.0,Holiday Inn Bridgeport-Trumbull-Fairfield
333,Aguimes,ES,few clouds,27.91,-15.45,68.0,Hotel Villa de Aguimes
334,Thompson,CA,broken clouds,55.74,-97.86,24.8,Burntwood Hotel
335,Hattiesburg,US,clear sky,31.33,-89.29,77.0,Quality Inn & Suites
336,Paita,PE,clear sky,-5.09,-81.11,76.82,Hotel Náutico de Paita
337,Barahona,DO,scattered clouds,18.21,-71.1,78.67,Hotel Caribe
338,Teruel,ES,broken clouds,40.67,-0.67,51.8,La Parra
339,Matagami,CA,clear sky,49.75,-77.63,32.0,Motel Le Caribou
341,Ashtabula,US,broken clouds,41.7,-80.77,57.99,DFC Mobile Home Park & Sales
342,Olenino,RU,scattered clouds,56.21,33.49,30.51,Kolos
343,Ambilobe,MG,clear sky,-13.2,49.05,72.97,Hôtel & Restaurant DIANA Ambilobe
344,Bom Jesus,BR,broken clouds,-9.07,-44.36,77.22,Hotel Brasão & Floricultura Bella Flor
345,Abu Samrah,SY,overcast clouds,35.3,37.18,53.44,
346,Morant Bay,JM,few clouds,17.88,-76.41,82.4,Whispering Bamboo Cove Resort
347,Cabinda,AO,overcast clouds,-5.55,12.2,80.85,Cligest - Centro Médico Vida de Cabinda - BNA
348,Bani Walid,LY,clear sky,31.76,13.99,55.0,منزل الصابر أبوفانة
349,Guanica,PR,overcast clouds,17.97,-66.91,82.0,Copamarina Beach Resort & Spa
350,Grindavik,IS,shower rain,63.84,-22.43,32.0,Northern Light Inn & Max's Restaurant
351,Madimba,TZ,few clouds,-10.4,40.33,78.3,
352,Madaras,HU,clear sky,46.06,19.26,44.38,Heffler-tanya
353,Viedma,AR,few clouds,-40.81,-63.0,50.31,Hotel Cristal
355,Santa Cruz,BO,broken clouds,-17.8,-63.17,77.0,Hotel Cortez
356,Isiro,CD,overcast clouds,2.77,27.62,67.6,Nova
360,Itacurubi Del Rosario,PY,overcast clouds,-24.5,-56.68,74.21,
361,Severnyy,RU,broken clouds,50.68,36.55,42.8,Full House North Mini-Hotel
362,Henties Bay,,clear sky,-22.12,14.28,59.0,Fishermans Guest House
365,Praia Da Vitoria,PT,broken clouds,38.73,-27.07,62.6,Hotel Branco I
366,Qena,EG,clear sky,26.16,32.72,75.2,"Grand hotel ""Quena"""
367,Odweyne,SO,clear sky,9.41,45.06,75.47,Eng Hiirey House
368,Nara,JP,broken clouds,34.69,135.8,55.0,Guesthouse Nara Komachi
370,Montepuez,MZ,scattered clouds,-13.13,39.0,67.19,RESIDÊNCIAL LANCHONETE
371,Lalganj,IN,haze,25.87,85.18,69.8,Ravi Ranjan
372,Coihaique,CL,broken clouds,-45.58,-72.07,46.4,Diego De Almagro Coyhaique
373,Marienburg,PL,clear sky,54.04,19.03,53.6,Hotel Centrum Malbork
374,Rio Grande,BR,few clouds,-32.03,-52.1,64.17,Swan Express Rio Grande
375,Dzhubga,RU,clear sky,44.32,38.7,45.0,Paradise
376,Hamilton,US,broken clouds,39.18,-84.53,66.99,Six Acres Bed & Breakfast
377,Keetmanshoop,,few clouds,-26.58,18.13,59.0,Quiver Inn Guesthouse
379,Copiapo,CL,broken clouds,-27.37,-70.33,60.8,Antay Casino Hotel
